id,drought_stress_factor_1_to_5,growth_scenario,market_gravity
48_40,4,moderate_growth,50
48_41,4,moderate_growth,50
48_42,4,moderate_growth,50
48_43,4,moderate_growth,50
48_44,4,moderate_growth,50
48_45,4,moderate_growth,50
48_46,4,moderate_growth,50
48_47,4,moderate_growth,50
48_48,4,moderate_growth,50
48_5,4,moderate_growth,50
48_6,4,moderate_growth,50
48_7,4,moderate_growth,50
48_8,4,moderate_growth,50
48_9,4,moderate_growth,50
49_0,3,moderate_growth,50
49_1,3,moderate_growth,50
49_2,3,moderate_growth,50
49_3,3,moderate_growth,50
49_4,3,moderate_growth,50
51_0,4,moderate_growth,50
51_1,1,moderate_growth,50
51_10,4,moderate_growth,50
51_11,4,moderate_growth,50
51_12,4,moderate_growth,50
51_13,1,moderate_growth,50
51_14,4,moderate_growth,50
51_15,4,moderate_growth,50
51_16,4,moderate_growth,50
51_17,4,moderate_growth,50
51_18,4,moderate_growth,50
51_19,4,moderate_growth,50
51_2,1,moderate_growth,50
51_20,4,moderate_growth,50
51_21,4,moderate_growth,50
51_22,1,moderate_growth,50
51_23,1,moderate_growth,50
51_24,1,moderate_growth,50
51_25,4,moderate_growth,50
51_26,4,moderate_growth,50
51_27,4,moderate_growth,50
51_28,4,moderate_growth,50
51_29,1,moderate_growth,50
51_3,4,moderate_growth,50
51_30,4,moderate_growth,50
51_31,4,moderate_growth,50
51_32,4,moderate_growth,50
51_33,4,moderate_growth,50
